date,cap
1,1.856487421
2,1.84632725
3,1.835349194
4,1.835262528
5,1.834645508
6,1.83566166
7,1.835146143
8,1.825756791
9,1.824773853
10,1.824613268
11,1.824619553
12,1.814201936
13,1.813752158
14,1.813440491
15,1.802598004
16,1.8021069
17,1.802579501
18,1.803068314
19,1.802777625
20,1.847025995
21,1.847417311
22,1.836177421
23,1.825780748
24,1.825113644
25,1.825581504
26,1.814031128
27,1.814769194
28,1.813969389
29,1.802765665
30,1.80407704
31,1.851802552
32,1.830703846
33,1.819904109
34,1.809307964
35,1.804609905
36,1.799377065
37,1.788443234
38,1.782923048
39,1.773033716
40,1.773037755
41,1.767872111
42,1.76231507
43,1.767617292
44,1.76266836
45,1.751730487
46,1.741849605
47,1.736091351
48,1.793624015
49,1.783189022
50,1.767364208
51,1.757017785
52,1.746870618
53,1.741717251
54,1.736422506
55,1.726321724
56,1.715806539
57,1.710533351
58,1.7060145
59,1.700311027
60,1.69457986
61,1.684902909
62,1.674474159
63,1.674569248
64,1.663716376
65,1.659013869
66,1.653854057
67,1.642653782
68,1.637857843
69,1.632735041
70,1.627752892
71,1.622125486
72,1.61132566
73,1.60656314
74,1.601514223
75,1.590369231
76,1.585788997
77,1.584943071
78,1.595526389
79,1.574730175
80,1.564901995
81,1.559765947
82,1.559481567
83,1.554689354
84,1.548874108
85,1.538236599
86,1.527914258
87,1.528525263
88,1.522647325
89,1.517485994
90,1.605818899
91,1.563849145
92,1.548091525
93,1.532375563
94,1.526952827
95,1.516957302
96,1.511897596
97,1.506563896
98,1.501545353
99,1.490844405
100,1.485868385
101,1.480413678
102,1.475209587
103,1.485903599
104,1.49609183
105,1.480800595
106,1.469754327
107,1.453901227
108,1.454146207
109,1.455023752
110,1.449042164
111,1.438670937
112,1.433445432
113,1.43339589
114,1.428064873
115,1.422920318
116,1.417429033
117,1.412409229
118,1.412578793
119,1.407598373
120,1.433392049
121,1.438255018
122,1.417354717
123,1.406981664
124,1.401203778
125,1.396700823
126,1.391284789
127,1.386228768
128,1.380436676
129,1.375236415
130,1.370512802
131,1.370508557
132,1.364735511
133,1.375392017
134,1.386111515
135,1.369850004
136,1.364782795
137,1.354322047
138,1.354641702
139,1.354703921
140,1.349314998
141,1.344189194
142,1.338991379
143,1.338914523
144,1.334006676
145,1.328644431
146,1.323170899
147,1.318169159
148,1.318466444
149,1.31829304
150,1.323872422
151,1.360121677
152,1.339530687
153,1.329028657
154,1.323674127
155,1.318633897
156,1.313475132
157,1.313202063
158,1.307795995
159,1.303032919
160,1.303357356
161,1.303410044
162,1.297887081
163,1.298073506
164,1.293463614
165,1.288003393
166,1.287452522
167,1.309015364
168,1.325079329
169,2.035337591
170,2.025140246
171,2.013326371
172,2.013284666
173,2.000528338
174,2.013899076
175,2.013101106
