date,capacity,resistance,CCCT,SOH
2016/7/1 0:00,1.126384507,0.094009422,6613.059052,0.825174979
2016/7/2 0:00,1.126159816,0.091661021,6612.4028,0.815965106
2016/7/3 0:00,1.125965708,0.094648689,6608.560673,0.815976985
2016/7/4 0:00,1.118507686,0.091412842,6604.732222,0.825193911
2016/7/5 0:00,1.117210075,0.091412842,6629.211049,0.806900151
2016/7/6 0:00,1.113753551,0.088416383,6619.934535,0.797717083
2016/7/7 0:00,1.098818144,0.092305116,6519.983304,0.80681849
2016/7/8 0:00,1.096180326,0.093030766,6455.685388,0.797619139
2016/7/9 0:00,1.08987113,0.090849862,6427.498205,0.797626659
2016/7/10 0:00,1.087582295,0.091578141,6405.686007,0.788453979
2016/7/11 0:00,1.094747895,0.090685725,6392.936185,0.797704415
2016/7/12 0:00,1.095568286,0.089794911,6467.884833,0.788537508
2016/7/13 0:00,1.095432918,0.08898595,6483.685024,0.78853302
2016/7/14 0:00,1.095223222,0.08744695,6488.046997,0.788572509
2016/7/15 0:00,1.094804056,0.08744695,6489.313993,0.779400763
2016/7/16 0:00,1.094444882,0.086872682,6492.238835,0.779435624
2016/7/17 0:00,1.094044211,0.087526016,6494.006026,0.779426896
2016/7/18 0:00,1.093461422,0.087368026,6493.727088,0.779435712
2016/7/19 0:00,1.092733219,0.088097483,6489.351768,0.779431057
2016/7/20 0:00,1.088853679,0.086637259,6486.415079,0.779429823
2016/7/21 0:00,1.088381413,0.086637259,6482.556867,0.779420883
2016/7/22 0:00,1.087994962,0.085905157,6479.276517,0.779467749
2016/7/23 0:00,1.087629019,0.087368026,6477.371357,0.779460665
2016/7/24 0:00,1.087233549,0.085017867,6476.982651,0.779442616
2016/7/25 0:00,1.08679975,0.086559057,6472.948505,0.77944237
2016/7/26 0:00,1.086397688,0.086559057,6467.857552,0.779468603
2016/7/27 0:00,1.07646084,0.087368026,6462.951588,0.770195378
2016/7/28 0:00,1.068281322,0.089876033,6327.288716,0.770134385
2016/7/29 0:00,1.06187103,0.089794911,6286.11199,0.779297131
2016/7/30 0:00,1.060449954,0.089957289,6254.017459,0.770141649
2016/7/31 0:00,1.059070352,0.091412842,6235.032733,0.770112795
2016/8/1 0:00,1.068431632,0.088256642,6243.658904,0.779360619
2016/8/2 0:00,1.069764576,0.08898595,6331.608343,0.770220351
2016/8/3 0:00,1.061246736,0.086559057,6351.002998,0.761003077
2016/8/4 0:00,1.052803839,0.090685725,6234.596401,0.770123399
2016/8/5 0:00,1.051496984,0.089876033,6191.328954,0.76095265
2016/8/6 0:00,1.050788537,0.089227542,6177.485181,0.770114121
2016/8/7 0:00,1.049771042,0.090603873,6165.953764,0.770108218
2016/8/8 0:00,1.059165526,0.090685725,6173.891699,0.770163439
2016/8/9 0:00,1.060456277,0.08898595,6266.07618,0.761049156
2016/8/10 0:00,1.057632133,0.088176988,6286.531358,0.751852469
2016/8/11 0:00,1.048273703,0.089308366,6186.923483,0.770108296
2016/8/12 0:00,1.043392805,0.090685725,6137.297759,0.770084247
2016/8/13 0:00,1.042916764,0.089957289,6133.34506,0.770112835
2016/8/14 0:00,1.042017256,0.090767719,6126.939105,0.760917478
2016/8/15 0:00,1.04972441,0.089957289,6106.922548,0.760989704
2016/8/16 0:00,1.051906223,0.08898595,6201.511471,0.761020613
2016/8/17 0:00,1.056326663,0.088176988,6229.515004,0.751887641
2016/8/18 0:00,1.041467215,0.090603873,6187.191529,0.760933155
2016/8/19 0:00,1.041002884,0.090603873,6111.017508,0.760940648
2016/8/20 0:00,1.040485113,0.090603873,6102.220792,0.76092502
2016/8/21 0:00,1.039212144,0.089876033,6094.986453,0.760923686
2016/8/22 0:00,1.086998241,0.088336438,6108.456892,0.779321178
2016/8/23 0:00,1.08060739,0.089794911,6386.261926,0.788447779
2016/8/24 0:00,1.086749406,0.088176988,6410.006133,0.77019391
2016/8/25 0:00,1.086558905,0.086559057,6435.72988,0.779398198
2016/8/26 0:00,1.077421786,0.08898595,6394.773987,0.779312173
2016/8/27 0:00,1.070168259,0.089794911,6318.795221,0.770133985
2016/8/28 0:00,1.068724015,0.08898595,6288.87445,0.779304628
2016/8/29 0:00,1.059973758,0.091495417,6232.514196,0.779222688
2016/8/30 0:00,1.060902188,0.088496469,6205.437337,0.770099693
2016/8/31 0:00,1.05967818,0.091495417,6215.831637,0.779282341
2016/9/1 0:00,1.051177013,0.092305116,6183.549514,0.779239264
2016/9/2 0:00,1.050114387,0.0939245,6113.902747,0.779221138
2016/9/3 0:00,1.044345654,0.092305116,6109.012407,0.770054961
2016/9/4 0:00,1.043579684,0.091495417,6101.21566,0.770054855
2016/9/5 0:00,1.04143387,0.092472181,6077.325565,0.779219574
2016/9/6 0:00,1.042326438,0.091578141,6059.014559,0.770060984
2016/9/7 0:00,1.041955783,0.092305116,6080.251493,0.770088724
2016/9/8 0:00,1.034641963,0.093030766,6076.049144,0.7608825
2016/9/9 0:00,1.033443463,0.0939245,6013.43565,0.770038434
2016/9/10 0:00,1.03291745,0.093198992,6013.013925,0.770030909
2016/9/11 0:00,1.032427234,0.092305116,6006.592102,0.770035199
2016/9/12 0:00,1.025694489,0.093198992,5993.264517,0.760879739
2016/9/13 0:00,1.03208333,0.092305116,5975.374256,0.760907203
2016/9/14 0:00,1.031910898,0.091495417,6010.237528,0.760916165
2016/9/15 0:00,1.031384485,0.09238857,6003.659348,0.760911739
2016/9/16 0:00,1.030364006,0.091495417,5994.659453,0.760913191
2016/9/17 0:00,1.025377354,0.091578141,5986.675153,0.751750284
2016/9/18 0:00,1.025316924,0.093114808,5980.737662,0.760910606
2016/9/19 0:00,1.024726664,0.091495417,5980.801457,0.751763982
2016/9/20 0:00,1.023678922,0.092305116,5966.659982,0.75174552
2016/9/21 0:00,1.023080049,0.090849862,5955.191327,0.760928463
2016/9/22 0:00,1.022644748,0.091661021,5946.269376,0.760928502
2016/9/23 0:00,1.02209035,0.0939245,5937.488228,0.76091645
2016/9/24 0:00,1.021515457,0.091661021,5930.285094,0.760910409
2016/9/25 0:00,1.016603677,0.092305116,5924.003911,0.751748718
2016/9/26 0:00,1.021017053,0.090120256,5921.488715,0.760952662
2016/9/27 0:00,1.015750462,0.093114808,5919.207768,0.751751238
2016/9/28 0:00,1.015133512,0.092221804,5908.847746,0.751750235
2016/9/29 0:00,1.014788483,0.092305116,5898.972967,0.751753222
2016/9/30 0:00,1.00553917,0.094009422,5865.033879,0.742534878
2016/10/1 0:00,1.004114978,0.09255594,5789.656191,0.751666617
2016/10/2 0:00,0.998737579,0.094734199,5772.656679,0.751683183
2016/10/3 0:00,0.997843762,0.09626662,5758.641031,0.751692216
2016/10/4 0:00,1.016196169,0.092305116,1800.907467,0.751705693
2016/10/5 0:00,1.015518543,0.092305116,3954.826842,0.75171345
2016/10/6 0:00,1.014263594,0.093839727,5913.55331,0.751726926
2016/10/7 0:00,1.022954003,0.090685725,5899.74222,0.742640775
2016/10/8 0:00,1.023095879,0.090603873,5925.887394,0.742628061
2016/10/9 0:00,1.013637451,0.093114808,5979.937105,0.751749747
2016/10/10 0:00,1.042110101,0.090767719,5866.305092,0.742571178
2016/10/11 0:00,1.041562374,0.091412842,5227.063339,0.760921929
2016/10/12 0:00,1.04968097,0.088176988,6070.661371,0.751819976
2016/10/13 0:00,1.050218967,0.08744695,6128.18413,0.761009069
2016/10/14 0:00,1.034513942,0.089227542,6171.219154,0.751734324
2016/10/15 0:00,1.034205858,0.091578141,6110.982641,0.760895926
2016/10/16 0:00,1.034671846,0.090767719,6011.927361,0.760903108
2016/10/17 0:00,1.033362148,0.090849862,6017.83364,0.760932387
2016/10/18 0:00,1.032349956,0.092305116,6018.834503,0.760879313
2016/10/19 0:00,1.041169381,0.090522178,5978.271291,0.76098321
2016/10/20 0:00,1.041413811,0.089066342,6033.135473,0.760998665
2016/10/21 0:00,1.031678125,0.092221804,6097.250047,0.760920498
2016/10/22 0:00,1.025124551,0.089227542,6068.611488,0.751722189
2016/10/23 0:00,1.0237632,0.09238857,5959.59723,0.760899075
2016/10/24 0:00,1.023033828,0.091578141,5938.757257,0.760917109
2016/10/25 0:00,1.016824986,0.092305116,5923.710362,0.751815786
2016/10/26 0:00,1.03089167,0.091495417,5911.02291,0.751877116
2016/10/27 0:00,1.031329277,0.090603873,5924.242686,0.742729403
